GSSCode,diversity2011
E01001311,1.472
E01001312,1.477
E01001313,1.257
E01001314,1.431
E01001315,1.105
E01001316,1.463
E01001317,1.488
E01001318,1.317
E01001319,1.436
E01001320,1.413
E01001321,1.524
E01001322,1.338
E01001323,1.327
E01001324,1.282
E01001325,1.401
E01001326,1.435
E01001327,1.276
E01001328,1.171
E01001329,1.164
E01001330,1.257
E01001331,1.129
E01001332,1.245
E01001333,1.181
E01001334,1.118
E01001335,1.231
E01001336,1.182
E01001337,1.067
E01001338,1.153
E01001339,1.144
E01001340,1.046
E01001341,1.436
E01001342,1.41
E01001343,1.439
E01001344,1.473
E01001345,1.469
E01001346,1.388
E01001347,1.388
E01001348,1.448
E01001349,1.467
E01001350,1.5
E01001351,1.491
E01001352,1.504
E01001353,1.449
E01001354,1.515
E01001355,1.48
E01001356,1.41
E01001357,1.448
E01001358,1.51
E01001359,1.472
E01001360,1.506
E01001361,1.516
E01001362,1.532
E01001363,1.504
E01001364,1.493
E01001365,1.536
E01001366,1.52
E01001367,1.227
E01001368,1.323
E01001369,1.26
E01001370,1.339
E01001371,1.498
E01001372,1.242
E01001373,1.421
E01001374,1.527
E01001375,1.438
E01001376,1.425
E01001377,1.454
E01001379,1.499
E01001380,1.388
E01001381,1.466
E01001382,1.459
E01001383,1.465
E01001384,1.527
E01001385,1.335
E01001386,1.437
E01001387,1.323
E01001388,1.414
E01001389,1.288
E01001390,1.364
E01001391,1.534
E01001392,1.514
E01001393,1.534
E01001394,1.053
E01001395,0.98
E01001396,1.123
E01001397,1.051
E01001398,1.077
E01001399,1.194
E01001400,1.023
E01001401,1.163
E01001402,1.185
E01001403,1.16
E01001404,1.2
E01001405,1.152
E01001406,1.234
E01001407,1.197
E01001408,1.17
E01001409,1.182
E01001410,0.803
E01001411,1.359
E01001412,0.95
E01001413,0.822
E01001414,1.049
E01001415,1.298
E01001416,1.133
E01001417,1.31
E01001418,1.251
E01001419,1.118
E01001420,0.993
E01001421,1.177
E01001422,1.426
E01001423,1.315
E01001424,1.337
E01001425,1.389
E01001426,1.354
E01001427,1.397
E01001428,1.481
E01001429,1.516
E01001430,1.363
E01001431,1.483
E01001432,1.109
E01001433,1.231
E01001434,1.162
E01001435,1.269
E01001436,1.204
E01001437,1.323
E01001438,1.401
E01001439,1.073
E01001440,1.314
E01001441,1.117
E01001442,0.932
E01001444,1.423
E01001445,1.387
E01001446,1.006
E01001447,1.041
E01001448,0.643
E01001449,1.315
E01001450,1.13
E01001451,1.215
E01001452,1.136
E01001453,1.226
E01001454,1.24
E01001455,1.27
E01001456,1.333
E01001457,1.172
E01001458,1.534
E01001459,1.477
E01001460,1.498
E01001461,1.499
E01001462,1.478
E01001463,1.542
E01001464,1.479
E01001465,1.478
E01001466,1.523
E01001467,1.492
E01001468,1.364
E01001469,1.413
E01001470,1.448
E01001471,1.429
E01001472,1.49
E01001473,1.44
E01001474,1.468
E01001475,1.496
E01001476,1.407
E01001477,1.409
E01001478,1.373
E01001479,1.473
E01001480,1.361
E01001481,1.4
E01001482,1.464
E01001483,1.41
E01001484,1.203
E01001485,0.939
E01001486,1.127
E01001487,1.078
E01001488,1.065
E01001489,1.133
E01001491,0.944
E01001492,0.999
E01001493,1.503
E01001494,1.524
E01001495,1.509
E01001496,1.506
E01001497,1.536
E01001498,1.505
E01001499,1.465
E01001500,1.507
E01001501,1.522
E01001502,1.526
E01001503,1.269
E01001504,1.168
E01001505,0.928
E01001507,1.074
E01001508,0.948
E01001509,1.206
E01001511,0.981
E01001512,1.155
E01001513,1.489
E01001514,1.499
E01001515,1.44
E01001516,1.514
E01001517,1.52
E01001518,1.471
E01001520,1.513
E01001521,1.531
E01001522,1.432
E01001523,1.517
E01001524,1.5
E01001525,1.499
E01001526,1.484
E01001527,1.498
E01001528,1.5
E01001529,1.52
E01001530,1.349
E01001531,1.477
E01001532,1.159
E01001533,1.417
E01001534,1.401
E01001535,1.389
E01001536,1.469
E01001537,1.397
E01001538,1.408
E01001539,1.514
E01001540,1.489
E01001541,1.495
E01001542,1.515
E01001543,1.512
E01001544,1.488
E01001545,1.52
E01001546,1.535
E01001547,1.534
E01001548,1.348
E01001549,1.22
E01001550,1.357
E01001551,1.328
E01001552,1.492
E01001553,1.447
E01001554,1.468
E01001555,1.303
E01001556,1.402
E01001557,1.34
E01001558,1.277
E01001559,1.366
E01001560,1.187
E01001562,1.439
E01001563,1.271
E01001564,1.167
E01001565,1.309
E01001566,1.505
E01001567,1.443
E01001568,1.423
E01001569,1.116
E01001570,1.177
E01001571,1.164
E01001572,1.378
E01001573,1.31
E01001574,0.862
E01001575,1.101
E01001576,0.946
E01001577,1.003
E01001578,1.027
E01001579,0.948
E01001580,1.181
E01001581,1.101
E01001582,0.998
E01001583,1.41
E01001584,1.35
E01001585,1.416
E01001586,1.409
E01001587,1.482
E01001588,1.362
E01001589,1.338
E01001590,1.31
E01001591,1.53
E01001592,1.515
E01001593,1.523
E01001594,1.465
E01001595,1.491
E01001596,1.552
E01001597,1.476
E01001598,1.536
E01001599,1.52
E01001600,1.272
E01001601,1.038
E01001602,1.344
E01001603,1.109
E01001604,0.975
E01001605,1.146
E01001606,1.17
E01001607,1.324
E01001608,1.454
E01001609,1.376
