GSSCode,year,diversity
E01000629,2021,1.265
E01000484,2011,0.826
E01000484,2021,1.465
E01000486,2011,0.976
E01000486,2021,1.364
E01000572,2011,0.757
E01000572,2021,1.294
E01000574,2011,0.579
E01000574,2021,1.23
E01000577,2011,0.563
E01000577,2021,1.469
E01000563,2011,0.605
E01000563,2021,1.199
E01000568,2011,0.583
E01000568,2021,1.157
E01000479,2011,0.968
E01000479,2021,1.337
E01000483,2011,0.909
E01000483,2021,1.473
E01033931,2011,0.801
E01033931,2021,1.418
E01000498,2011,0.634
E01000498,2021,1.438
E01000626,2011,0.6
E01000626,2021,1.398
E01033934,2011,0.5
E01033934,2021,1.42
E01000499,2011,0.621
E01000499,2021,1.524
E01000502,2011,0.66
E01000502,2021,1.453
E01000570,2011,0.762
E01000570,2021,1.3
E01000576,2011,0.706
E01000576,2021,1.282
E01000564,2011,0.584
E01000564,2021,1.314
E01000607,2011,0.455
E01000607,2021,1.192
E01000613,2011,0.664
E01000613,2021,1.319
E01000509,2011,0.643
E01000509,2021,1.433
E01000511,2011,0.594
E01000511,2021,1.451
E01000628,2011,0.449
E01000628,2021,1.455
E01000554,2011,0.473
E01000554,2021,1.394
E01000556,2011,0.575
E01000556,2021,1.364
E01000558,2011,0.496
E01000558,2021,1.237
E01000606,2011,0.538
E01000606,2021,1.326
E01000611,2011,0.845
E01000611,2021,1.237
E01000505,2011,0.574
E01000505,2021,1.436
E01000512,2011,0.658
E01000512,2021,1.285
E01000610,2011,0.355
E01000610,2021,1.277
E01000631,2011,0.459
E01000631,2021,0.939
E01000634,2011,0.368
E01000634,2021,1.19
E01000620,2011,0.595
E01000620,2021,1.192
E01000636,2011,0.571
E01000636,2021,1.129
E01033936,2011,0.64
E01033936,2021,1.264
E01000601,2011,0.53
E01000601,2021,1.389
E01000603,2011,0.524
E01000603,2021,1.485
E01000605,2011,0.38
E01000605,2021,1.302
E01000637,2011,0.418
E01000637,2021,1.342
E01000642,2011,0.512
E01000642,2021,1.362
E01000490,2011,0.607
E01000490,2021,1.236
E01000495,2011,0.473
E01000495,2021,1.331
E01000561,2011,0.502
E01000561,2021,1.441
E01000640,2011,0.321
E01000640,2021,1.494
E01000643,2011,0.331
E01000643,2021,1.472
E01000521,2011,0.379
E01000521,2021,1.447
E01000526,2011,0.522
E01000526,2021,1.394
