GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01001920,E01000373,1.269,1.161,,E01001920,1.269
E01001921,E01000429,0.986,1.122,,E01001921,0.986
E01001922,E01000430,0.978,1.12,,E01001922,0.978
E01001923,E01000431,1.175,1.061,,E01001923,1.175
E01001924,E01000433,0.864,1.052,,E01001924,0.864
E01001947,E01000434,1.501,0.859,,E01001947,1.501
E01001948,E01033789,1.111,1.284,,E01001948,1.111
E01001949,E01033790,0.761,0.988,,E01001949,0.761
E01001950,E01000356,0.852,0.915,,E01001950,0.852
E01001951,E01000357,1.101,0.765,,E01001951,1.101
E01001953,E01000359,1.298,0.859,,E01001953,1.298
E01001904,E01000421,0.945,0.731,,E01001904,0.945
E01001905,E01000450,0.927,0.949,,E01001905,0.927
E01001906,E01000451,1.016,0.934,,E01001906,1.016
E01001907,E01000452,0.926,0.998,,E01001907,0.926
E01001935,E01000367,1.133,1.056,,E01001935,1.133
E01001939,E01000368,1.362,0.907,,E01001939,1.362
E01032788,E01000372,1.307,0.961,,E01032788,1.307
E01032789,E01000380,1.502,0.673,,E01032789,1.502
E01032790,E01000435,1.488,0.989,,E01032790,1.488
E01001915,E01000353,0.842,0.678,,E01001915,0.842
E01001916,E01000354,0.686,0.861,,E01001916,0.686
E01001926,E01000355,0.817,0.585,,E01001926,0.817
E01001952,E01000358,1.101,0.876,,E01001952,1.101
E01001925,E01000436,0.961,0.742,,E01001925,0.961
E01001934,E01000401,1.356,0.956,,E01001934,1.356
E01001937,E01000453,0.997,0.959,,E01001937,0.997
E01001938,E01000454,1.37,1.004,,E01001938,1.37
E01001969,E01000455,1.406,0.96,,E01001969,1.406
E01001971,E01000456,1.504,0.916,,E01001971,1.504
E01001974,E01000325,1.383,0.61,,E01001974,1.383
E01001975,E01000326,1.36,0.901,,E01001975,1.36
E01002036,E01000369,1.455,0.712,,E01002036,1.455
E01002037,E01000370,1.474,0.778,,E01002037,1.474
E01002039,E01000371,1.448,0.624,,E01002039,1.448
E01002040,E01000360,1.429,0.827,,E01002040,1.429
E01001962,E01000362,1.279,0.871,,E01001962,1.279
E01001970,E01000365,1.495,0.756,,E01001970,1.495
E01001972,E01000366,1.419,0.866,,E01001972,1.419
E01001973,E01000394,1.383,0.788,,E01001973,1.383
E01002090,E01000388,1.504,0.97,,E01002090,1.504
E01002093,E01000392,1.472,1.118,,E01002093,1.472
E01002096,E01000409,1.502,0.804,,E01002096,1.502
E01002097,E01000411,1.537,0.851,,E01002097,1.537
E01002091,E01000414,1.491,1.076,,E01002091,1.491
E01002092,E01000415,1.479,0.943,,E01002092,1.479
E01002094,E01000327,1.512,0.751,,E01002094,1.512
E01002095,E01000328,1.521,0.644,,E01002095,1.521
E01002098,E01000329,1.335,0.857,,E01002098,1.335
E01002101,E01000330,1.437,0.775,,E01002101,1.437
