GSSCode,diversity2011
E01003320,1.423
E01003323,1.449
E01003325,1.468
E01003226,1.335
E01003227,1.305
E01003228,1.234
E01003229,1.417
E01003230,1.404
E01003317,1.463
E01003318,1.455
E01003321,1.426
E01003322,1.465
E01003324,1.411
E01003254,1.186
E01003255,1.349
E01003260,1.418
E01003261,1.310
E01003262,1.364
E01003217,1.469
E01003218,1.439
E01003220,1.469
E01003222,1.411
E01003224,1.452
E01003263,1.402
E01003268,1.404
E01003269,1.386
E01003270,1.393
E01003271,1.305
E01003307,1.388
E01003308,1.434
E01003314,1.385
E01003315,1.405
E01003316,1.360
E01003216,1.477
E01003219,1.457
E01003221,1.467
E01003223,1.468
E01003346,1.411
E01003349,1.403
E01003351,1.375
E01003354,1.433
E01003309,1.415
E01003310,1.420
E01003311,1.381
E01003312,1.396
E01003313,1.439
E01003256,1.425
E01003257,1.336
E01003258,1.437
E01003259,1.316
E01003193,1.341
E01003194,1.438
E01003195,1.410
E01003196,1.446
E01003197,1.427
E01003347,1.467
E01003348,1.449
E01003350,1.476
E01003352,1.443
E01003353,1.455
E01003264,1.374
E01003265,1.393
E01003266,1.354
E01003267,1.340
E01003329,1.371
E01003330,1.404
E01003331,1.406
E01003332,1.403
E01003334,1.419
E01003189,1.422
E01003190,1.465
E01003191,1.402
E01003192,1.388
E01003326,1.369
E01003327,1.384
E01003328,1.376
E01003333,1.403
E01003335,1.425
E01003236,1.425
E01003237,1.385
E01003238,1.361
E01003239,1.433
E01032564,1.420
E01003235,1.369
E01003240,1.378
E01003241,1.451
E01003243,1.411
E01032565,1.429
E01003298,1.421
E01003300,1.417
E01003303,1.470
E01003304,1.504
E01032579,1.475
E01003543,1.510
E01003544,1.501
E01003546,1.412
E01003550,1.476
E01003576,1.380
E01003581,1.287
E01003582,1.392
E01003583,1.339
E01003578,1.359
E01003584,1.402
E01003586,1.279
E01003590,1.451
E01003579,1.205
E01003585,1.149
E01003587,1.345
E01003591,1.354
E01003528,1.317
E01003575,1.325
E01003577,1.451
E01003580,1.426
E01003545,1.466
E01003548,1.509
E01003549,1.497
E01003557,1.427
E01003547,1.491
E01003555,1.287
E01003561,1.119
E01003567,1.210
E01003556,1.420
E01003558,1.307
E01003570,1.240
E01003571,1.113
E01003572,1.202
E01003551,1.506
E01003553,1.500
E01003554,1.491
E01003559,1.510
E01003529,1.018
E01003530,1.061
E01003531,1.111
E01003532,1.068
E01003534,1.134
E01003533,1.160
E01003560,1.125
E01003563,1.196
E01003588,1.109
E01003589,1.245
E01003616,1.511
E01003617,1.493
E01003618,1.491
E01003619,1.499
E01003615,1.500
E01033578,1.506
E01033579,1.491
E01033583,1.499
E01033586,1.513
E01003562,1.095
E01003564,1.137
E01003565,1.081
E01003566,1.174
E01003625,1.305
E01003626,1.130
E01003627,1.153
E01003628,1.164
E01003629,1.137
E01003552,1.441
E01003596,1.408
E01003597,1.341
E01003635,1.480
E01003568,1.115
E01003569,1.092
E01003573,1.117
E01003574,1.234
E01003520,1.140
E01003521,1.170
E01003522,1.185
E01003525,1.216
E01003526,1.277
E01003488,1.439
E01003489,1.342
E01003490,1.275
E01003524,1.265
E01003631,1.541
E01003632,1.513
E01003633,1.471
E01003634,1.476
E01003636,1.506
E01003598,1.467
E01003600,1.466
E01003630,1.490
E01003637,1.461
E01003491,1.183
E01003592,1.417
E01003599,1.355
E01003606,1.438
E01003535,1.485
E01003536,1.474
E01003621,1.328
E01003622,1.326
E01003623,1.380
E01003523,1.357
E01003527,1.452
E01003537,1.442
E01003542,1.490
E01003624,1.445
E01003492,1.315
E01003493,1.350
E01003494,1.429
E01003495,1.459
E01003594,1.473
E01003595,1.483
E01003602,1.452
E01003607,1.497
E01003496,1.497
E01003498,1.489
E01003500,1.468
E01003593,1.478
E01003601,1.482
E01003603,1.472
E01003605,1.389
E01003608,1.512
E01003538,1.473
E01003539,1.489
E01003540,1.480
E01003541,1.493
E01003499,1.497
E01003501,1.487
E01003502,1.453
E01003503,1.455
E01003507,1.489
E01003508,1.489
E01003509,1.431
E01003604,1.494
E01003483,1.464
E01003484,1.486
E01003516,1.485
E01003518,1.476
E01003519,1.478
E01003480,1.476
E01003482,1.498
E01003486,1.467
E01003487,1.467
E01003497,1.464
E01003506,1.491
E01033574,1.488
E01033575,1.458
E01033576,1.518
E01033584,1.474
E01033585,1.490
E01003479,1.411
E01003481,1.441
E01003485,1.464
E01003513,1.480
E01003511,1.464
E01003512,1.457
E01003514,1.440
E01003515,1.472
E01003517,1.475
E01003609,1.490
E01003611,1.447
E01033577,1.491
E01033580,1.424
E01033581,1.448
E01033582,1.482
E01004029,1.395
E01004032,1.331
E01004053,1.231
E01004054,1.220
E01004055,1.209
E01003927,1.273
E01003929,1.299
E01003934,1.353
E01003935,1.434
E01003939,1.455
E01003976,1.423
E01004027,1.427
E01032637,1.119
E01032638,0.891
E01032640,1.101
E01032646,1.314
E01032803,1.330
E01032834,1.048
E01003975,1.450
E01003978,1.411
E01004022,1.372
E01004023,1.346
E01004028,1.392
E01003938,1.468
E01003940,1.478
E01003941,1.382
E01003942,1.525
E01003979,1.420
E01003981,1.455
E01004030,1.292
E01004031,1.462
E01004033,1.413
E01004034,1.371
E01004036,1.464
E01004056,1.279
E01004057,1.302
E01004058,1.162
E01004059,1.264
E01004060,1.445
E01003936,1.285
E01003937,1.463
E01003943,1.503
E01032720,1.530
E01003977,1.372
E01004037,1.433
E01004038,1.489
E01004042,1.260
E01004043,1.072
E01003986,1.436
E01003987,1.374
E01004024,1.359
E01004035,1.412
E01003960,1.424
E01003961,1.451
E01003994,1.476
E01032722,1.422
E01003980,1.404
E01004039,1.510
E01004040,1.409
E01004041,1.474
E01004044,1.447
E01003992,1.437
E01003995,1.389
E01003998,1.279
E01003999,1.452
E01032639,1.416
E01032719,1.511
E01003964,1.494
E01003966,1.500
E01003968,1.419
E01003971,1.400
E01003974,1.430
E01003963,1.468
E01003967,1.428
E01003970,1.411
E01003972,1.436
E01003973,1.436
E01003923,1.442
E01003969,1.467
E01003991,1.432
E01003993,1.409
E01003997,1.456
E01003983,1.370
E01003988,1.442
E01003989,1.383
E01003990,1.401
E01004007,1.352
E01003912,1.335
E01004011,1.316
E01004012,1.420
E01004013,1.413
E01004014,1.343
E01003911,1.460
E01003916,1.472
E01003917,1.430
E01003918,1.406
E01003925,1.428
E01003919,1.466
E01003920,1.385
E01003921,1.465
E01003922,1.409
E01003924,1.403
E01003926,1.415
E01004008,1.394
E01004010,1.462
E01004067,1.419
E01032805,1.453
E01003984,1.447
E01004003,1.414
E01004004,1.419
E01004005,1.402
E01004006,1.406
E01003913,1.351
E01003914,1.377
E01003915,1.413
E01004050,1.213
E01004052,1.307
E01004061,1.364
E01004062,1.445
E01004063,1.353
E01004065,1.294
E01004066,1.441
E01004000,1.422
E01004001,1.406
E01004019,1.404
E01004064,1.433
E01004068,1.394
E01004045,1.358
E01004047,1.487
E01004048,1.392
E01004049,1.486
E01004051,1.190
E01003953,1.300
E01003955,1.309
E01004015,1.230
E01004021,1.167
E01004046,1.347
E01004002,1.327
E01004016,1.313
E01004017,1.150
E01004020,1.387
E01003952,1.201
E01003954,1.246
E01003956,1.186
E01004071,1.251
E01004072,1.046
E01004069,1.053
E01004070,1.106
E01004073,1.029
E01004074,1.073
E01004075,0.869
E01003949,1.237
E01003950,1.396
E01003957,1.196
E01003958,1.211
E01004018,1.135
E01003945,1.295
E01003946,1.362
E01003947,1.415
E01003948,1.252
E01003951,1.237
E01003930,1.441
E01003932,1.464
E01003933,1.442
E01032583,1.349
E01032584,1.452
E01004222,1.435
E01004223,1.396
E01004224,1.410
E01004226,1.413
E01004197,1.428
E01004198,1.379
E01004199,1.310
E01004201,1.389
E01004228,1.152
E01004230,1.378
E01004232,1.227
E01004233,1.395
E01004234,1.193
E01004225,1.166
E01004229,1.386
E01004231,1.399
E01032764,1.358
E01032765,1.428
E01032784,1.330
E01004200,1.321
E01004202,1.383
E01004203,1.351
E01004204,1.388
E01004311,1.356
E01004314,1.107
E01004315,1.370
E01004318,1.482
E01004259,1.355
E01004260,1.396
E01004263,1.384
E01004266,1.300
E01004235,1.329
E01004236,1.273
E01004237,1.471
E01004238,1.350
E01004239,1.381
E01004312,1.374
E01004313,1.394
E01004316,1.338
E01004317,1.331
E01004261,1.351
E01004262,1.335
E01004264,1.206
E01032785,1.413
E01032786,1.362
E01004207,1.373
E01004209,1.254
E01004212,1.369
E01032787,1.268
E01004240,1.371
E01004241,1.361
E01004242,1.370
E01004267,1.426
E01004268,1.379
E01004205,1.196
E01004206,1.307
E01004208,1.349
E01004211,1.360
E01004269,1.383
E01004270,1.361
E01004271,1.308
E01004272,1.228
E01004273,1.254
E01004306,1.325
E01004307,1.261
E01004308,1.268
E01004309,1.334
E01004310,1.280
E01004283,1.314
E01004287,1.354
E01004289,1.370
E01004290,1.374
E01004322,1.378
E01004323,1.287
E01004324,1.217
E01004326,1.383
E01004245,1.313
E01004246,1.386
E01004248,1.380
E01004249,1.420
E01004284,1.346
E01004285,1.206
E01004286,1.308
E01004288,1.286
E01004243,1.384
E01004244,1.394
E01004247,1.382
E01004250,1.393
E01004319,1.166
E01004321,1.228
E01004325,1.324
E01032766,1.409
E01032767,1.281
E01004298,1.314
E01004300,1.338
E01004304,1.259
E01004305,1.335
E01004251,1.346
E01004254,1.266
E01004255,1.340
E01004258,1.312
E01004252,1.392
E01004253,1.411
E01004256,1.320
